id,name,cost,unit
ex-14,"Windows (3x5 sash)",425.00,"ea."
ex-15,"Window Repair — Non-Insulated (6x6+)",35.00,"sf"
ex-16,"Window Repair — Insulated (6x6+)",40.00,"sf"
ex-17,"Aluminum Framed Window Pane",100.00,"pane"
ex-18,"Guttering",4.15,"LF"
ex-19,"Concrete w/ Demo",200.00,"sqft"
ex-20,"Mowing (summer, every 2 weeks)",45.00,"mowing"
ex-21,"Garage Door — 1 Car",975.00,"ea."
ex-22,"Garage Door — 2 Car (Installed)",1225.00,"ea."
ex-23,"Garage Conversion",8850.00,"ea."
